,timestamp,reportingGroup,locationName,value,unit
278,2021-01-12T14:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
279,2021-01-12T15:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
280,2021-01-12T16:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
281,2021-01-12T17:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
282,2021-01-12T18:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
283,2021-01-12T19:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
284,2021-01-12T20:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
285,2021-01-12T21:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
286,2021-01-12T22:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
287,2021-01-12T23:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
288,2021-01-13T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
289,2021-01-13T01:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
290,2021-01-13T02:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
291,2021-01-13T03:00:00,Electricity,1000 Hakaniemen kauppahalli,0.060000000000000005,kWh
292,2021-01-13T04:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
293,2021-01-13T05:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
294,2021-01-13T06:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
295,2021-01-13T07:00:00,Electricity,1000 Hakaniemen kauppahalli,0.7000000000000001,kWh
296,2021-01-13T08:00:00,Electricity,1000 Hakaniemen kauppahalli,2.12,kWh
297,2021-01-13T09:00:00,Electricity,1000 Hakaniemen kauppahalli,2.21,kWh
298,2021-01-13T10:00:00,Electricity,1000 Hakaniemen kauppahalli,2.2299999999999995,kWh
299,2021-01-13T11:00:00,Electricity,1000 Hakaniemen kauppahalli,2.21,kWh
300,2021-01-13T12:00:00,Electricity,1000 Hakaniemen kauppahalli,2.21,kWh
301,2021-01-13T13:00:00,Electricity,1000 Hakaniemen kauppahalli,2.0599999999999996,kWh
302,2021-01-13T14:00:00,Electricity,1000 Hakaniemen kauppahalli,1.1500000000000001,kWh
303,2021-01-13T15:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
